iter	Passed	Remaining
399	34039	8509
400	34159	8433
401	34291	8359
402	34394	8278
403	34507	8199
404	34608	8118
405	34692	8032
406	34839	7960
407	34995	7891
408	35150	7820
409	35256	7739
410	35472	7681
411	35571	7597
412	35665	7513
413	35740	7424
414	35847	7342
415	35984	7266
416	36087	7182
417	36169	7095
418	36263	7010
419	36357	6925
420	36456	6841
421	36540	6753
422	36637	6669
423	36749	6587
424	36864	6505
425	36967	6421
426	37048	6333
427	37148	6249
428	37452	6198
429	37562	6114
430	37691	6034
431	37866	5960
432	38069	5890
433	38154	5802
434	38233	5713
435	38329	5626
436	38407	5536
437	38598	5463
438	38684	5375
439	38771	5287
440	38886	5202
441	38999	5117
442	39126	5034
443	39222	4947
444	39372	4866
445	39558	4789
446	39659	4702
447	39769	4616
448	39857	4527
449	40007	4445
450	40126	4359
451	40235	4272
452	40348	4186
453	40455	4098
454	40559	4011
455	40644	3921
456	40729	3832
457	40828	3744
458	40931	3656
459	41032	3568
460	41136	3480
461	41245	3392
462	41352	3304
463	41435	3214
464	41535	3126
465	41636	3037
466	41709	2947
467	41813	2859
468	41903	2769
469	42028	2682
470	42167	2596
471	42253	2506
472	42352	2417
473	42438	2327
474	42564	2240
475	42756	2155
476	42915	2069
477	43042	1981
478	43186	1893
479	43325	1805
480	43488	1717
481	43687	1631
482	43949	1546
483	44256	1463
484	44351	1371
485	44446	1280
486	44548	1189
487	44659	1098
488	44777	1007
489	44892	916
490	44999	824
491	45103	733
492	45199	641
493	45293	550
494	45405	458
495	45536	367
496	45919	277
497	46297	185
498	46419	93
499	46551	0
