iter	Logloss
0	0.6708219516
1	0.6538963784
2	0.6398617039
3	0.6297905618
4	0.621301332
5	0.614024659
6	0.6064750963
7	0.6010599755
8	0.5956207238
9	0.5904679908
10	0.5867501499
11	0.5826058752
12	0.5792244805
13	0.5759342928
14	0.5732233762
15	0.5711434403
16	0.5694273964
17	0.5676029792
18	0.5665095906
19	0.5648816838
20	0.5638984766
21	0.5626044993
22	0.5610970131
23	0.5605307016
24	0.5596633542
25	0.5594445963
26	0.5590331708
27	0.5580053794
28	0.5580046234
29	0.5576093156
30	0.5573324902
31	0.5571029729
32	0.5564168988
33	0.5557492577
34	0.5557488811
35	0.5553700908
36	0.5550894491
37	0.5547770332
38	0.5546030053
39	0.5546016827
40	0.5543544593
41	0.553953076
42	0.5531742471
43	0.5529253909
44	0.5526732387
45	0.5525554569
46	0.5523523083
47	0.552309098
48	0.5521394544
49	0.5517026896
50	0.5517007057
51	0.5514671374
52	0.551047589
53	0.5510462814
54	0.5508793736
55	0.5508689567
56	0.5505875457
57	0.5505875361
58	0.550552643
59	0.5504210673
60	0.550420954
61	0.5500195926
62	0.5499260041
63	0.5494036279
64	0.5490541711
65	0.5488722568
66	0.54876114
67	0.5487095639
68	0.5487095021
69	0.548709418
70	0.5487053647
71	0.5484862511
72	0.5480557825
73	0.5477724319
74	0.5477393505
75	0.5477262274
76	0.5477249035
77	0.5475852065
78	0.547584766
79	0.5475809493
80	0.5475755989
81	0.5475755598
82	0.547567881
83	0.5473583856
84	0.5473576983
85	0.5473573448
86	0.5473563907
87	0.5473487584
88	0.5473322239
89	0.5473317745
90	0.5473273791
91	0.5473267574
92	0.5468191642
93	0.5467968542
94	0.546795381
95	0.5467852579
96	0.54678522
97	0.5467801957
98	0.54655722
99	0.5463771172
100	0.5462710897
101	0.5462693741
102	0.5462687768
103	0.5462687232
104	0.5461645978
105	0.546012189
106	0.5460094455
107	0.5459705139
108	0.5453888735
109	0.5453886023
110	0.5451940173
111	0.54519335
112	0.5451931249
113	0.545093647
114	0.5449207168
115	0.5449075549
116	0.5449062644
117	0.5447520194
118	0.5443970252
119	0.5442283096
120	0.5439787831
121	0.543892953
122	0.5438273745
123	0.5438272858
124	0.5436247941
125	0.543599619
126	0.5434871428
127	0.543394741
128	0.5433923326
129	0.54315086
130	0.5431497813
131	0.5430281216
132	0.5430241769
133	0.5428452597
134	0.5427735404
135	0.5426988305
136	0.5426987451
137	0.54246755
138	0.5424617904
139	0.5424617263
140	0.5423672148
141	0.5423155458
142	0.5422963281
143	0.5422909462
144	0.5422337982
145	0.5421630925
146	0.5421603385
147	0.5421030259
148	0.542098984
149	0.541930169
150	0.541923018
151	0.5417175601
152	0.541672309
153	0.5414014679
154	0.5413745185
155	0.5413297741
156	0.5412516133
157	0.5410148397
158	0.5409639763
159	0.5408225486
160	0.5408122012
161	0.5408063378
162	0.5407809948
163	0.5407790526
164	0.5407696173
165	0.5406894158
166	0.5406841417
167	0.5406462842
168	0.5404791154
169	0.5404748993
170	0.5402756444
171	0.5402700816
172	0.540240998
173	0.5402238883
174	0.539971098
175	0.5399553084
176	0.5399515574
177	0.5399461588
178	0.5398479175
179	0.5397450966
180	0.5395939227
181	0.5394118457
182	0.5393504265
183	0.5393319921
184	0.539329276
185	0.5391405102
186	0.5391112611
187	0.538955654
188	0.5389123743
189	0.5388418956
190	0.5388366069
191	0.5387024837
192	0.5386951812
193	0.5386614686
194	0.5385863145
195	0.5382991993
196	0.5382910144
197	0.5382892565
198	0.5381900385
199	0.5381875257
200	0.538185874
201	0.5381280186
202	0.5380555048
203	0.5380246655
204	0.5378674922
205	0.5378630211
206	0.5377674736
207	0.5377331467
208	0.5377284219
209	0.5375742914
210	0.5375714891
211	0.5374798518
212	0.5374729001
213	0.5373277402
214	0.5373183256
215	0.53731623
216	0.5372442211
217	0.5371505692
218	0.5371478735
219	0.5367975397
220	0.5366338256
221	0.5364665237
222	0.5364190772
223	0.5362391807
224	0.5360772199
225	0.5360736391
226	0.5359224844
227	0.5358599225
228	0.535664456
229	0.5355222205
230	0.5352704939
231	0.5352483431
232	0.535210629
233	0.5352075868
234	0.5350922084
235	0.5347075106
236	0.5346661542
237	0.5345738927
238	0.5345462024
239	0.5344161358
240	0.5343251507
241	0.534220937
242	0.5340831662
243	0.5339639285
244	0.5337851874
245	0.5337241104
246	0.5337222082
247	0.5336343839
248	0.5336283588
249	0.5336195099
250	0.5335083457
251	0.5334434517
252	0.5333739645
253	0.5332315672
254	0.5332160094
255	0.5330670622
256	0.5329154928
257	0.5327306326
258	0.532615618
259	0.5325047332
260	0.5324215334
261	0.5324142588
262	0.5321999774
263	0.5321814117
264	0.5320520748
265	0.5320506156
266	0.53204885
267	0.532046896
268	0.5320321686
269	0.5320294698
270	0.5320287164
271	0.5320256209
272	0.5320237255
273	0.5320228936
274	0.5320217891
275	0.5320137801
276	0.531999522
277	0.5319813397
278	0.5319785555
279	0.5319297377
280	0.5319278713
281	0.5319203252
282	0.5319192961
283	0.5319169572
284	0.5319160627
285	0.5319104457
286	0.531908868
287	0.5319054659
288	0.5319041126
289	0.5319018446
290	0.53190036
291	0.5318913985
292	0.531887569
293	0.5318856445
294	0.5318840636
295	0.5318821289
296	0.5318807159
297	0.5318796428
298	0.5318789633
299	0.5318778711
300	0.5318762173
301	0.531819775
302	0.531815208
303	0.5318141084
304	0.5318128314
305	0.5317611751
306	0.531640893
307	0.531639696
308	0.5316374886
309	0.5316368651
310	0.5316356703
311	0.5316346429
312	0.5315436014
313	0.5315420955
314	0.5314382124
315	0.5314371829
316	0.5314344449
317	0.531431739
318	0.5314307648
319	0.5314285769
320	0.5314212131
321	0.5313900187
322	0.5313888964
323	0.5313865054
324	0.5313857823
325	0.5313841859
326	0.5313828417
327	0.5313823972
328	0.531381242
329	0.5313749624
330	0.5313739149
331	0.5313704243
332	0.5313650777
333	0.5313620128
334	0.5312889826
335	0.5312490106
336	0.5312431306
337	0.5312230035
338	0.5310577814
339	0.530842415
340	0.5307707156
341	0.5306590265
342	0.5304504649
343	0.5303686082
344	0.5303634752
345	0.530212942
346	0.5301384534
347	0.5300922086
348	0.5300908893
349	0.5299901786
350	0.5297142654
351	0.529626809
352	0.5294991143
353	0.5293543904
354	0.5292659114
355	0.5291463128
356	0.5290555276
357	0.5289568751
358	0.5286541656
359	0.5285769683
360	0.5284828682
361	0.5281306003
362	0.5280568294
363	0.527872856
364	0.5277769977
365	0.5277058653
366	0.5276563589
367	0.5275377701
368	0.5274688614
369	0.5271651343
370	0.5270338314
371	0.526913916
372	0.5268729998
373	0.5268029242
374	0.5267968284
375	0.526698313
376	0.526559664
377	0.5264707789
378	0.5264007936
379	0.5261987077
380	0.5260976381
381	0.5259580823
382	0.5258960159
383	0.5257154827
384	0.5255999881
385	0.5254540227
386	0.5253334326
387	0.5251024654
388	0.5249307651
389	0.52460272
390	0.5245728014
391	0.5245393856
392	0.5245312751
393	0.5244713405
394	0.5243650855
395	0.524291721
396	0.5241556803
397	0.5240830855
398	0.5240822781
399	0.5240031887
400	0.5239853815
401	0.5238748808
402	0.5238109262
403	0.5235713238
404	0.5233921786
405	0.5233829601
406	0.5233143661
407	0.523263234
408	0.523213979
409	0.5231383289
410	0.5230749391
411	0.5230740274
412	0.5230735602
413	0.5230729001
414	0.5229632231
415	0.5229456001
416	0.5228890593
417	0.5228887548
418	0.522787317
419	0.5227522242
420	0.5224753767
421	0.5224398912
422	0.522352067
423	0.5220560932
424	0.5219762914
425	0.5218583428
426	0.5218132612
427	0.5217688502
428	0.5216879604
429	0.5216873198
430	0.5215848094
431	0.5213696242
432	0.5213578332
433	0.5212345914
434	0.5212084159
435	0.5211285297
436	0.5211281572
437	0.521027703
438	0.5210273092
439	0.5210109369
440	0.5209991732
441	0.5209979037
442	0.520877635
443	0.520660139
444	0.5206574709
445	0.5205787134
446	0.5205513333
447	0.5205132804
448	0.5204685913
449	0.5203675712
450	0.5203367608
451	0.5202496489
452	0.5200731167
453	0.5199684326
454	0.519858663
455	0.5198580679
456	0.5198221136
457	0.5196900173
458	0.519636456
459	0.5195656409
460	0.5194563405
461	0.5193352958
462	0.51926655
463	0.519266117
464	0.5190811349
465	0.5188638454
466	0.5188618868
467	0.518840059
468	0.5188364248
469	0.5187177336
470	0.5186010061
471	0.5184876022
472	0.5183639933
473	0.5183073447
474	0.5181451328
475	0.5179815915
476	0.5177818886
477	0.5177427665
478	0.5176615326
479	0.5175746994
480	0.5174883223
481	0.5173164079
482	0.5171698803
483	0.5170478947
484	0.5169649809
485	0.5168934282
486	0.5167404891
487	0.5164107322
488	0.5163499958
489	0.5161080003
490	0.5159424817
491	0.5157179185
492	0.5155862142
493	0.5154043001
494	0.5153365416
495	0.5152263089
496	0.5151838627
497	0.5150928251
498	0.515052977
499	0.5147928499
